feature,coefficient,absolute_coefficient
numeric__digital_influence,0.7164324173806186,0.7164324173806186
categorical__primary_shopping_channel_E-commerce,0.4841279553608425,0.4841279553608425
categorical__monthly_income_band_< IDR 5M,-0.48300253153754147,0.48300253153754147
categorical__monthly_income_band_> IDR 20M,0.4478476101931016,0.4478476101931016
categorical__gender_Woman,-0.42782833290232936,0.42782833290232936
categorical__region_Bali & Nusa Tenggara,-0.35494037697276715,0.35494037697276715
numeric__quality_orientation,0.3152206495347737,0.3152206495347737
numeric__sustainability_orientation,0.3044834010245747,0.3044834010245747
numeric__age,-0.27584676251422974,0.27584676251422974
categorical__region_Sulawesi,0.25382285488350403,0.25382285488350403
numeric__price_sensitivity,-0.2244723789911312,0.2244723789911312
categorical__primary_shopping_channel_Minimarket,-0.21834764255707523,0.21834764255707523
categorical__primary_shopping_channel_Traditional market,-0.2177170230611142,0.2177170230611142
categorical__region_Java,0.18717875897635572,0.18717875897635572
numeric__health_orientation,0.17666167327414525,0.17666167327414525
categorical__most_purchased_category_Home care,-0.16892314930527852,0.16892314930527852
categorical__most_purchased_category_Personal care,0.12669585432198588,0.12669585432198588
categorical__region_Kalimantan,-0.12152864939071971,0.12152864939071971
numeric__convenience_orientation,0.10241448385584749,0.10241448385584749
numeric__monthly_fmcg_spend_idr,-0.10021923606832915,0.10021923606832915
numeric__brand_trust,-0.0827866056813619,0.0827866056813619
categorical__monthly_income_band_IDR 10–20M,0.06482209014621752,0.06482209014621752
categorical__primary_shopping_channel_Supermarket,-0.04913860338407833,0.04913860338407833
numeric__purchase_frequency_per_month,0.04230530300472118,0.04230530300472118
categorical__most_purchased_category_Food & beverages,0.041151981341869696,0.041151981341869696
categorical__region_Sumatra,0.03439209886220132,0.03439209886220132
numeric__household_size,0.03203932691719209,0.03203932691719209
categorical__monthly_income_band_IDR 5–10M,-0.030742482443204846,0.030742482443204846
